image,bpp,psnr,ms_ssim,ms_ssim_db,mse
1,0.20374841336160898,25.343383524972033,0.9160127639770508,10.757867109143433,0.002921875100582838
2,0.08852505745987096,29.01642836687797,0.886114776134491,9.43532620169867,0.0012541721807792783
3,0.07712489863236745,30.205711538856377,0.9387797117233276,12.131046297097182,0.0009537374717183411
4,0.09285478293895721,28.96813170052917,0.9010979533195496,10.047947210132481,0.0012681973166763783
5,0.23906225121269625,24.811626083507015,0.9270333051681519,11.368753255138063,0.0033024586737155914
6,0.1466115489602089,26.250873161644925,0.895546555519104,9.810772340524519,0.0023708969820290804
7,0.12166127997140089,29.038015130970468,0.954625129699707,13.431846033431054,0.0012479537399485707
8,0.25876065033177537,24.212457893173664,0.9398692846298218,12.209036293580127,0.0037910037208348513
9,0.09261050913482904,29.741540509070582,0.9516856670379639,13.159240120452873,0.0010613190243020654
10,0.09944987172881763,29.30315590775228,0.9348510503768921,11.86092581894075,0.0011740440968424082
11,0.12305379534761111,27.18563676888159,0.901745080947876,10.076456978103852,0.0019117729971185327
12,0.08596423640847206,30.057146303089304,0.9118530750274658,10.54792833571737,0.0009869277710095048
13,0.23237630414466062,22.720335657024773,0.878264307975769,9.145820710995904,0.005345230456441641
14,0.15951632025341195,25.951466946535305,0.8975693583488464,9.895701067451935,0.0025401145685464144
15,0.09146758696685235,29.01577576020664,0.9293484687805176,11.5087842131768,0.001254360657185316
16,0.08142208711554606,28.29985244286018,0.8981577157974243,9.920718685310584,0.0014791586436331272
17,0.09616087128718694,28.896862005210973,0.932179868221283,11.686413706960328,0.001289180712774396
18,0.15694343702246746,25.475199642026208,0.8949260115623474,9.785047823176265,0.002834523329511285
19,0.11221225714931886,27.789480549045923,0.9064835906028748,10.291121764500588,0.001663611619733274
20,0.090945345039169,29.544561865565946,0.9484044313430786,12.873875966380668,0.001110564568080008
21,0.13978847519805035,26.87866743650048,0.9369236826896667,12.001336707408727,0.0020517916418612003
22,0.11278843569258849,27.4611020186724,0.8794698715209961,9.189043805025216,0.0017942782724276185
23,0.0794806598375241,30.81075724859728,0.9442092180252075,12.534375513883877,0.0008297060849145055
24,0.1645488947009047,24.98274429299803,0.9119352102279663,10.551976973117263,0.0031748672481626272
