image,image_name,estimated_bpp,coded_bpp,bpp,forward_ms,encode_ms,decode_ms,codec_total_ms,num_pixels,psnr,ms_ssim,ms_ssim_db,mse
1,kodim01,0.5264404335369667,0.5277506510416666,0.5264404335369667,162.01274500053842,78.09524200274609,92.25098199385684,170.34622399660293,393216,28.695193257404377,0.9668729305267334,14.79816981500527,0.0013504567323252559
2,kodim02,0.20677665372689563,0.20646158854166666,0.20677665372689563,5.064814991783351,69.49206499848515,86.53707099438179,156.02913599286694,393216,31.644727001849144,0.9321861267089844,11.686814495342903,0.000684742524754256
3,kodim03,0.17704363726079464,0.17732747395833334,0.17704363726079464,5.255033989669755,70.07448199146893,88.34344199567568,158.4179239871446,393216,33.62140746191915,0.9673904776573181,14.866555626002615,0.0004343694308772683
4,kodim04,0.21842303623755774,0.21858723958333334,0.21842303623755774,8.339728999999352,75.69481400423683,97.90198400150985,173.59679800574668,393216,31.909807600288765,0.9496502876281738,12.98003006057444,0.0006441978039219975
5,kodim05,0.5711600730816523,0.5721028645833334,0.5711600730816523,5.055565008660778,73.26462600030936,94.7303700086195,167.99499600892887,393216,28.926229143344603,0.9723909497261047,15.589485324371823,0.0012804926373064518
6,kodim06,0.37758223588267964,0.3779296875,0.37758223588267964,5.147935007698834,71.56083500012755,96.87113799736835,168.4319729974959,393216,29.871758141805493,0.9558358192443848,13.549298213035065,0.0010299690766260028
7,kodim07,0.2540911765148242,0.2547200520833333,0.2540911765148242,5.051414991612546,71.7685440031346,90.77648000675254,162.54502400988713,393216,32.97148049483439,0.9800417423248291,16.998773746261318,0.0005044892895966768
8,kodim08,0.596154432122906,0.5956217447916666,0.596154432122906,5.1921249978477135,75.57086400629487,100.0847929972224,175.65565700351726,393216,28.1689400524585,0.9741491675376892,15.875254669620404,0.0015244247624650598
9,kodim09,0.19442510915299258,0.19466145833333334,0.19442510915299258,5.907831000513397,75.40619600331411,100.62626999570057,176.03246599901468,393216,33.32535803177283,0.9751513004302979,16.046963346763437,0.00046501203905791044
10,kodim10,0.20980997507770857,0.20987955729166666,0.20980997507770857,5.0971939926967025,78.71418900322169,102.66076998959761,181.3749589928193,393216,32.96357304025983,0.9672861099243164,14.852678099577973,0.000505408679600805
11,kodim11,0.3142088732371727,0.314453125,0.3142088732371727,5.158644009497948,82.89344800869003,94.44054099731147,177.3339890060015,393216,30.434636308595184,0.9525445103645325,13.237135412875025,0.0009047662024386227
12,kodim12,0.18142200075089931,0.18147786458333334,0.18142200075089931,5.324722995283082,78.6181699950248,103.8092139933724,182.4273839883972,393216,32.8993580302059,0.9494686126708984,12.964387781302154,0.000512937200255692
13,kodim13,0.6694348814586798,0.6709798177083334,0.6694348814586798,5.1988339982926846,82.26105201174505,97.43981600331608,179.70086801506113,393216,26.38433927806329,0.9572281241416931,13.688417023490684,0.0022991434670984745
14,kodim14,0.40042200808723766,0.4012044270833333,0.40042200808723766,5.225004002568312,70.71641799120698,97.1883869933663,167.90480498457327,393216,29.413913656416554,0.9561874866485596,13.584018323421958,0.001144481124356389
15,kodim15,0.20963154112299284,0.20979817708333334,0.20963154112299284,5.24191401200369,69.32695599971339,87.27602599537931,156.6029819950927,393216,31.95295690410672,0.9588792324066162,13.859387870463529,0.0006378290709108114
16,kodim16,0.2215835079550743,0.22200520833333334,0.2215835079550743,5.291103007039055,81.31523500196636,96.60617000190541,177.92140500387177,393216,31.670417223506956,0.9536705017089844,13.341424028105122,0.0006807039608247578
17,kodim17,0.22131243099768957,0.22184244791666666,0.22131243099768957,5.6191119947470725,70.47143900126684,91.8789739953354,162.35041299660224,393216,32.2492835641528,0.965717613697052,14.649289556481218,0.0005957604153081775
18,kodim18,0.4152385840813319,0.4156901041666667,0.4152385840813319,5.2089540113229305,84.85827900585718,102.25755198916886,187.11583099502604,393216,28.97110835263186,0.9565938115119934,13.624483480314073,0.001267328392714262
19,kodim19,0.27419649933775264,0.2738444010416667,0.27419649933775264,5.766841000877321,75.49225499678869,95.41585600527469,170.90811100206338,393216,30.921345788741156,0.9549657702445984,13.464572608282834,0.0008088452159427106
20,kodim20,0.20139380544424057,0.201416015625,0.20139380544424057,5.049264000263065,70.93552700825967,103.83035401173402,174.76588101999369,393216,32.55358912769273,0.9732632637023926,15.728916073375458,0.0005554450326599181
21,kodim21,0.3406618367880583,0.341552734375,0.3406618367880583,5.309964006301016,71.61595400248189,94.00980299687944,165.62575699936133,393216,30.450741194561207,0.9691998958587646,15.114478150616534,0.0009014172828756273
22,kodim22,0.30147112905979156,0.3019205729166667,0.30147112905979156,5.5328719899989665,84.7364090004703,100.14422200038098,184.88063100085128,393216,30.385086629755506,0.9429931640625,12.440730630656434,0.0009151480044238269
23,kodim23,0.15752938700218996,0.15771484375,0.15752938700218996,5.0392249977448955,71.04883599095047,90.91207799792755,161.96091398887802,393216,34.19635953079898,0.9691616892814636,15.10909420041046,0.0003805082233157009
24,kodim24,0.42725391251345474,0.4276529947916667,0.42725391251345474,5.0883949879789725,80.70702900295146,89.95301299728453,170.660042000236,393216,28.750432190220696,0.9645256400108337,14.500854311257607,0.0013333887327462435
