image,image_name,estimated_bpp,coded_bpp,bpp,forward_ms,encode_ms,decode_ms,codec_total_ms,num_pixels,psnr,ms_ssim,ms_ssim_db,mse
1,kodim01,0.2032644258191188,0.203369140625,0.2032644258191188,157.780489011202,78.02688400261104,93.54045000509359,171.56733400770463,393216,25.335758015909533,0.915669858455658,10.740171707285697,0.0029270099475979805
2,kodim02,0.08856013976037502,0.08837890625,0.08856013976037502,5.21532200218644,71.08449201041367,94.4892150000669,165.57370701048058,393216,29.012082460226672,0.8857210278511047,9.420336744152175,0.0012554278364405036
3,kodim03,0.07691070002814135,0.0771484375,0.07691070002814135,5.16086199786514,71.17067198851146,89.9239300051704,161.09460199368186,393216,30.19633819263541,0.9382392764091492,12.092876244328,0.0009557981393299997
4,kodim04,0.09268308306733768,0.0927734375,0.09268308306733768,8.33476398838684,78.89726999565028,92.96253300271928,171.85980299836956,393216,28.95298139616014,0.9004392027854919,10.019116345174865,0.0012726291315630078
5,kodim05,0.2392276916652918,0.23966471354166666,0.2392276916652918,5.413241000496782,71.977577987127,88.82430499943439,160.8018829865614,393216,24.81786821330403,0.9270210266113281,11.368022502447438,0.003297715447843075
6,kodim06,0.1462007494022449,0.146240234375,0.1462007494022449,5.145912000443786,69.0119540086016,90.86064399161842,159.87259800022002,393216,26.250680817623916,0.8949443697929382,9.785806676527336,0.0023710019886493683
7,kodim07,0.12156722353150448,0.12158203125,0.12156722353150448,5.155271996045485,70.28312700276729,88.82250500028022,159.1056320030475,393216,29.04929119610467,0.9545868039131165,13.428179322753763,0.0012447177432477474
8,kodim08,0.2588939120372136,0.2582194010416667,0.2588939120372136,5.299301003105938,71.87604799401015,89.4154220004566,161.29146999446675,393216,24.214765445239905,0.9398902058601379,12.210547593725085,0.003788989968597889
9,kodim09,0.0925794883320729,0.09269205729166667,0.0925794883320729,5.231411996646784,73.06493099895306,88.99865500279702,162.06358600175008,393216,29.74516437226434,0.951652467250824,13.15625683747647,0.0010604338021948934
10,kodim10,0.0992715662966172,0.099365234375,0.0992715662966172,5.039782990934327,70.2554669987876,96.37289399688598,166.62836099567357,393216,29.287851413184107,0.9344861507415771,11.836668828977672,0.0011781887151300907
11,kodim11,0.12280686013400555,0.12337239583333333,0.12280686013400555,5.200512008741498,71.82386799831875,86.6249480022816,158.44881600060035,393216,27.18745080659119,0.9016199707984924,10.07093052867847,0.0019109746208414435
12,kodim12,0.08562468799451986,0.08544921875,0.08562468799451986,5.221280996920541,71.66801899438724,91.02588301175274,162.69390200613998,393216,30.057736492037776,0.9113843441009521,10.524895436895834,0.0009867936605587602
13,kodim13,0.23223119974136353,0.23282877604166666,0.23223119974136353,5.051222993643023,73.00071200006641,93.52527000010014,166.52598200016655,393216,22.724868703441665,0.8779831528663635,9.135802011937741,0.005339654162526131
14,kodim14,0.1595768127590418,0.15983072916666666,0.1595768127590418,5.132771999342367,79.8158749967115,91.68522999971174,171.50110499642324,393216,25.946922049415186,0.8972890973091125,9.883834538985925,0.0025427741929888725
15,kodim15,0.09130080354710421,0.09138997395833333,0.09130080354710421,5.035381997004151,74.28412399895024,90.76666500186548,165.0507890008157,393216,29.016981889664812,0.9291780591011047,11.49832175429789,0.00125401234254241
16,kodim16,0.08104363859941562,0.08138020833333333,0.08104363859941562,5.0659020052989945,74.78313200408593,93.82564900442958,168.6087810085155,393216,28.287860003374384,0.8978438973426819,9.90735684134494,0.0014832487795501947
17,kodim17,0.09604010793069997,0.096435546875,0.09604010793069997,5.290790999424644,76.0819049901329,92.18480699928477,168.26671198941767,393216,28.899623799940365,0.9319013953208923,11.668617865655138,0.0012883611489087343
18,kodim18,0.15687182700882357,0.157470703125,0.15687182700882357,5.177151993848383,74.25463500840124,93.39939999335911,167.65403500176035,393216,25.48150663772646,0.8948867917060852,9.783427080560324,0.002830409910529852
19,kodim19,0.1118032665302356,0.11149088541666667,0.1118032665302356,5.205271998420358,71.02279299579095,90.27726700878702,161.30006000457797,393216,27.77605641599173,0.9058315753936768,10.260946950629716,0.0016687618335708976
20,kodim20,0.0907369131843249,0.09065755208333333,0.0907369131843249,5.159362000995316,74.68132200301625,92.37220700015314,167.0535290031694,393216,29.58376693646416,0.9484952092170715,12.881523726321776,0.001100584282539785
21,kodim21,0.1397079344217976,0.14013671875,0.1397079344217976,5.197491991566494,71.47886000166181,90.9497639950132,162.42862399667501,393216,26.887096975763306,0.9368722438812256,11.99779647430979,0.002047813031822443
22,kodim22,0.112636665503184,0.11279296875,0.112636665503184,5.263530998490751,75.25864899798762,91.11045399913564,166.36910299712326,393216,27.457343902310882,0.8789640069007874,9.170854620809159,0.0017958316020667553
23,kodim23,0.07944637009253104,0.07967122395833333,0.07944637009253104,5.14616200234741,70.31942599860486,90.13940900331363,160.4588350019185,393216,30.80652216617488,0.9438132643699646,12.503661990680266,0.0008305155788548291
24,kodim24,0.16456378623843193,0.16495768229166666,0.16456378623843193,5.093501997180283,73.51281899900641,91.81567899941001,165.32849799841642,393216,24.981813121470154,0.9116304516792297,10.5369736479037,0.003175548044964671
