image,bpp,psnr,ms_ssim,ms_ssim_db,mse
1,0.33550665775934857,26.881535629109536,0.9456162452697754,12.645308114170584,0.002050437033176422
2,0.13691133571167785,30.37650514430645,0.9085673689842224,10.388987830299392,0.000916958088055253
3,0.11676748159031074,31.761571717548883,0.9552056789398193,13.487770415500362,0.0006665654946118593
4,0.14394963843127093,30.36425467977076,0.9274212121963501,11.3919028957418,0.0009195482707582414
5,0.3821729918320974,26.794696219437743,0.9545344710350037,13.423177517835006,0.002091849222779274
6,0.2407114387800296,27.879350370455967,0.9301707148551941,11.559624038884586,0.0016295397654175758
7,0.1786088359852632,30.94555649723961,0.9693526029586792,15.136064052759286,0.0008043486741371453
8,0.40605309419333935,26.117777591170782,0.9602457284927368,14.00616200532857,0.0024446812458336353
9,0.1351373785485824,31.533094521148172,0.9656227827072144,14.637292807408508,0.0007025715312920511
10,0.14737712343533835,31.198273632594223,0.9526214003562927,13.244177797466063,0.0007588791777379811
11,0.20158190776904425,28.730946651214207,0.9285128116607666,11.457717838230813,0.0013393847038969398
12,0.12043176653484503,31.335723183286834,0.9302343130111694,11.563581248759432,0.0007352375541813672
13,0.40881956989566487,24.380905420184913,0.9249458312988281,11.246251809205594,0.0036467791069298983
14,0.2585311469932397,27.59443812761942,0.9316765069961548,11.654299386668727,0.0017400278011336923
15,0.1382720023393631,30.42733778280416,0.9446650743484497,12.570006692386709,0.0009062879835255444
16,0.1390990714232127,29.845089507215437,0.9303361773490906,11.569926982578194,0.0010363132460042834
17,0.14706064015626907,30.521762537635357,0.9518980383872986,13.178372126032807,0.0008867960423231125
18,0.26607331074774265,27.106971447779095,0.9329687356948853,11.737225891165451,0.00194671715144068
19,0.174062034736077,29.164699211433593,0.9324064254760742,11.700945863280957,0.0012120766332373023
20,0.13407210508982342,31.074427727748443,0.9617414474487305,14.172714648076177,0.0007808313239365816
21,0.22364925406873226,28.596400216097035,0.9553990364074707,13.506557583641444,0.0013815289130434394
22,0.18821031165619692,28.829644758931078,0.9151121973991394,10.711547083861937,0.0013092890148982406
23,0.11109110775093237,32.493832882737046,0.957612931728363,13.727666206453078,0.0005631404346786439
24,0.2744818429152171,26.77030694923384,0.9425441026687622,12.406653882643111,0.002103629754856229
