image,image_name,estimated_bpp,coded_bpp,bpp,forward_ms,encode_ms,decode_ms,codec_total_ms,num_pixels,psnr,ms_ssim,ms_ssim_db,mse
1,kodim01,0.2063603388766448,0.20694986979166666,0.2063603388766448,150.9105860022828,78.79688500543125,97.32612600782886,176.1230110132601,393216,25.373968930307534,0.9163843989372253,10.777126840041568,0.0029013699386268854
2,kodim02,0.08650892476240793,0.08650716145833333,0.08650892476240793,5.146972995135002,72.22784099576529,90.36670299246907,162.59454398823436,393216,28.972752686940353,0.8846707344055176,9.380604735080208,0.0012668486451730132
3,kodim03,0.07629277432958284,0.07657877604166667,0.07629277432958284,5.071613006293774,74.32214899745304,94.2112220072886,168.53337100474164,393216,30.14646219717602,0.9383249878883362,12.09890756551996,0.0009668381535448134
4,kodim04,0.0912292009840409,0.09147135416666667,0.0912292009840409,8.027986987144686,77.99865999550093,94.05950299696997,172.0581629924709,393216,28.864504815356867,0.8982523083686829,9.924754349101445,0.0012988216476514935
5,kodim05,0.24371454492211342,0.24430338541666666,0.24371454492211342,5.171713011804968,71.99340099759866,89.79828600422479,161.79168700182345,393216,24.882218356594056,0.9274976849555969,11.396481259123476,0.0032492128666490316
6,kodim06,0.14592357818037271,0.146240234375,0.14592357818037271,5.073923006420955,72.03812200168613,97.47703399625607,169.5151559979422,393216,26.302172836757908,0.8955204486846924,9.809687011312565,0.002343056257814169
7,kodim07,0.12155557703226805,0.1220703125,0.12155557703226805,5.17190300161019,70.92318699869793,89.53538798959926,160.4585749882972,393216,28.986272494306743,0.9534333348274231,13.31924862539803,0.001262911013327539
8,kodim08,0.26057842187583447,0.2608235677083333,0.26057842187583447,5.357851012377068,70.8040479948977,90.11477400781587,160.91882200271357,393216,24.256846016188188,0.9397136569023132,12.197810591544336,0.0037524541839957237
9,kodim09,0.09237298679848512,0.0927734375,0.09237298679848512,5.073373002232984,72.588958995766,90.60540099744685,163.19435999321286,393216,29.512986018963126,0.9505260586738586,13.056234903228637,0.0011186684714630246
10,kodim10,0.09899430473645528,0.099365234375,0.09899430473645528,5.29478098906111,72.59292899107095,91.77967499999795,164.3726039910689,393216,29.154776349249616,0.9327686429023743,11.7242812221156,0.0012148491805419326
11,kodim11,0.1243557445704937,0.125,0.1243557445704937,5.033323002862744,72.95020700257737,92.52918099809904,165.4793880006764,393216,27.161430467871973,0.9011001586914062,10.048044052567878,0.0019224584102630615
12,kodim12,0.08429335368176301,0.08430989583333333,0.08429335368176301,5.027903011068702,72.84502699621953,97.14953700313345,169.99456399935298,393216,29.94295074977204,0.9108873009681702,10.500604022878877,0.0010132227325811982
13,kodim13,0.2361887888982892,0.23714192708333334,0.2361887888982892,5.054193010437302,72.00973101134878,89.83181600342505,161.84154701477382,393216,22.802684552466047,0.8793942928314209,9.186321405111602,0.005244831554591656
14,kodim14,0.16044236378123364,0.16072591145833334,0.16044236378123364,5.047661994467489,73.59250300214626,91.93324499938171,165.52574800152797,393216,25.960580209512003,0.8973260521888733,9.885397390432217,0.002534789964556694
15,kodim15,0.08973045585056146,0.09000651041666667,0.08973045585056146,5.3242819994920865,74.11384000442922,95.47831500822213,169.59215501265135,393216,28.960244909224087,0.9267538189888,11.352150141001275,0.0012705024564638734
16,kodim16,0.08003901814421018,0.08064778645833333,0.08003901814421018,5.036832997575402,74.97773598879576,93.97702300339006,168.95475899218582,393216,28.243146758950072,0.8973498344421387,9.886403458471387,0.0014985986053943634
17,kodim17,0.0963592641055584,0.09708658854166667,0.0963592641055584,5.03586299601011,73.39498400688171,93.4716460033087,166.86663001019042,393216,28.88799886503395,0.9303990006446838,11.573845245936996,0.0012918143766000867
18,kodim18,0.15776166071494419,0.15852864583333334,0.15776166071494419,5.239291989710182,73.34621400514152,93.61489499860909,166.9611090037506,393216,25.523770945421177,0.894608199596405,9.7719317639098,0.002802998758852482
19,kodim19,0.10993105359375477,0.11018880208333333,0.10993105359375477,5.035241993027739,74.00209100160282,93.90046400949359,167.9025550110964,393216,27.82887991096716,0.9056273102760315,10.251536669115035,0.001648587523959577
20,kodim20,0.09164904306332271,0.09163411458333333,0.09164904306332271,5.161552006029524,76.02561000385322,94.39692100568209,170.4225310095353,393216,29.60780696211667,0.9478545784950256,12.827838176768818,0.0010945089161396027
21,kodim21,0.14166822408636412,0.14241536458333334,0.14166822408636412,5.0367929943604395,70.40313999459613,91.13338800671045,161.53652800130658,393216,26.894071794973364,0.9363043904304504,11.95890501815834,0.0020445268601179123
22,kodim22,0.11295151834686597,0.113037109375,0.11295151834686597,5.011553002987057,73.12817500496749,94.28936199401505,167.41753699898254,393216,27.436103889753674,0.8779332637786865,9.134026672892876,0.0018046359764412045
23,kodim23,0.07835225419451794,0.078857421875,0.07835225419451794,5.070582992630079,73.79302200570237,92.1371430013096,165.93016500701196,393216,30.756593593112164,0.942129909992218,12.375458421594763,0.0008401186787523329
24,kodim24,0.16681646617750326,0.16707356770833334,0.16681646617750326,5.018252995796502,73.93942099588457,93.63562500220723,167.5750459980918,393216,25.058079412467787,0.9110868573188782,10.510340391195552,0.0031202691607177258
