image,bpp,psnr,ms_ssim,ms_ssim_db,mse
1,0.8273909489313762,31.056665723629933,0.9808530211448669,17.178997423247495,0.0007840313483029604
2,0.3223797592024008,33.14315029008212,0.9522603750228882,13.211209969549586,0.0004849366087000817
3,0.26428288221359253,35.541253296052005,0.9776994585990906,16.516845932490014,0.0002791738079395145
4,0.3331382821003596,33.54469145148119,0.9654701948165894,14.618058719259126,0.00044211052590981126
5,0.8334306627511978,31.327845062780156,0.9838310480117798,17.913181285464773,0.0007365724886767566
6,0.5839891731739044,32.22696833242162,0.9729517698287964,15.67861146528804,0.000598829472437501
7,0.35793684547146165,34.9680023685726,0.9867841601371765,18.78905232365813,0.00031856624991633
8,0.8860247979561487,30.630026213435787,0.9837535619735718,17.89241841764224,0.0008649626979604363
9,0.27722777302066487,35.20742496387585,0.9822301268577576,17.503156725785338,0.00030147930374369025
10,0.30144996444384253,34.7373773684033,0.9771572351455688,16.412513308836935,0.0003359404217917472
11,0.48576309283574426,32.39386588179797,0.9694889783859253,15.155432504392971,0.0005762532819062471
12,0.2729951043923696,34.596480590683136,0.965939998626709,14.67755338862769,0.00034701795084401965
13,1.0749360620975494,29.04048713626677,0.9778121709823608,16.53885189511335,0.0012472436064854264
14,0.6226479696730772,31.52697270316162,0.9735056757926941,15.76847153589961,0.0007035625749267638
15,0.3206389720241229,33.6166306106102,0.9712613821029663,15.415341218707173,0.00043484746129252017
16,0.3533067995061477,33.64438666081445,0.9710747599601746,15.387230283126323,0.0004320771840866655
17,0.32591363166769344,34.06356347673579,0.9770733714103699,16.3965980451866,0.0003923228941857815
18,0.6326962808767954,31.055037129216473,0.9719933271408081,15.527384814912942,0.0007843254134058952
19,0.4265848994255066,32.86308851790579,0.9716973304748535,15.48172599621896,0.0005172388628125191
20,0.30732371906439465,34.5042505968935,0.9820687174797058,17.46388646769828,0.0003544662904459983
21,0.5165770389139652,32.692529015744796,0.9789924621582031,16.77624845470379,0.000537956424523145
22,0.47761648148298264,32.20368121259506,0.9630031585693359,14.318353518191543,0.0006020490545779467
23,0.21659726276993752,35.9197061571638,0.9786016941070557,16.696206084484558,0.0002558759006205946
24,0.6517754296461741,31.188169414681035,0.9787351489067078,16.723376540780052,0.0007606468279846013
