image,image_name,estimated_bpp,coded_bpp,bpp,forward_ms,encode_ms,decode_ms,codec_total_ms,num_pixels,psnr,ms_ssim,ms_ssim_db,mse
1,kodim01,0.8020518198609352,0.8035481770833334,0.8020518198609352,160.25182598968968,77.03536900226027,97.23084900178947,174.26621800404973,393216,30.784889032277746,0.9802491068840027,17.044132612233675,0.0008346628746949136
2,kodim02,0.3298551092545191,0.3295084635416667,0.3298551092545191,5.303721001837403,70.94706299540121,93.98549699108116,164.93255998648237,393216,33.13330230418589,0.9529954791069031,13.278603696280609,0.0004860374901909381
3,kodim03,0.2635092958807945,0.2638346354166667,0.2635092958807945,5.10800200572703,70.2453069970943,88.79622499807738,159.04153199517168,393216,35.37602748568771,0.9774932265281677,16.476867601667557,0.00028999950154684484
4,kodim04,0.33305113514264423,0.333740234375,0.33305113514264423,8.401724000577815,78.7648200057447,95.5819579976378,174.3467780033825,393216,33.489144385214104,0.9660615921020508,14.693085349515576,0.0004478015180211514
5,kodim05,0.8093954150875409,0.810302734375,0.8093954150875409,5.098732013721019,70.1970359950792,98.80591099499725,169.00294699007645,393216,31.060890278041157,0.9832971096038818,17.772083687047243,0.0007832690607756376
6,kodim06,0.5716426409780979,0.5729166666666666,0.5716426409780979,5.056923007941805,71.6488290054258,88.54182700451929,160.1906560099451,393216,31.988013357934616,0.9725499153137207,15.614563113695521,0.0006327012088149786
7,kodim07,0.3537629346052805,0.3545735677083333,0.3537629346052805,5.22068100690376,68.98241401358973,88.33401699666865,157.31643101025838,393216,34.87661849261198,0.9866600036621094,18.748442896424166,0.00032534051570110023
8,kodim08,0.8667838287850221,0.865234375,0.8667838287850221,5.050922991358675,73.38516900199465,87.6547810039483,161.03995000594296,393216,30.328099382898426,0.9835198521614075,17.830388966924854,0.0009272355237044394
9,kodim09,0.2752576656639576,0.2757161458333333,0.2752576656639576,5.121442009112798,70.96931300475262,88.6482260102639,159.61753901501652,393216,35.14726724366925,0.9822503924369812,17.50811244586325,0.0003056843997910619
10,kodim10,0.29879554857810336,0.2989095052083333,0.29879554857810336,5.217401005211286,74.29647400567774,88.99649399972986,163.2929680054076,393216,34.667187377033514,0.9772496819496155,16.43012527509662,0.00034141395008191466
11,kodim11,0.478016696870327,0.4789225260416667,0.478016696870327,5.046722988481633,68.82446400413755,87.77287100383546,156.59733500797302,393216,32.29306583374063,0.969801127910614,15.200092773906427,0.0005897845840081573
12,kodim12,0.2728878495593866,0.2734375,0.2728878495593866,5.206500994972885,73.32625999697484,87.96770000481047,161.2939600017853,393216,34.59142284596882,0.9664886593818665,14.748081979059492,0.0003474223194643855
13,kodim13,1.0293710604310036,1.03173828125,1.0293710604310036,5.036942005972378,71.8936780031072,88.98014400620013,160.87382200930733,393216,28.63257416122024,0.9766513705253601,16.317386067068547,0.0013700694544240832
14,kodim14,0.6124224364757538,0.6131998697916666,0.6124224364757538,5.033162990002893,72.86894199205562,89.31984200899024,162.18878400104586,393216,31.31055062176205,0.9731666445732117,15.71325016771857,0.0007395115098915994
15,kodim15,0.320347194870313,0.3202311197916667,0.320347194870313,5.096672000945546,70.45734600978903,87.78234099736437,158.2396870071534,393216,33.50485880054699,0.9719389081001282,15.518954339183873,0.00044618413085117936
16,kodim16,0.3527744462092718,0.353515625,0.3527744462092718,5.0731720111798495,71.68865800485946,88.15157899516635,159.8402370000258,393216,33.48959235448773,0.9710518717765808,15.383795123690437,0.0004477553302422166
17,kodim17,0.32355809460083645,0.32421875,0.32355809460083645,5.059092989540659,69.89450800756458,87.57306200277526,157.46757001033984,393216,33.956981730764085,0.9771562218666077,16.412320665037353,0.00040207014535553753
18,kodim18,0.618599534034729,0.6201171875,0.618599534034729,5.2451619994826615,71.67851799749769,91.66009999171365,163.33861798921134,393216,30.853551237476374,0.9718160629272461,15.499983394899651,0.0008215705747716129
19,kodim19,0.4225010275840759,0.423095703125,0.4225010275840759,5.043653000029735,81.29808600642718,90.6719649938168,171.97005100024398,393216,32.71351142104876,0.9713044166564941,15.421849421910927,0.0005353636224754155
20,kodim20,0.30438478539387387,0.304443359375,0.30438478539387387,5.125951996888034,71.63439900614321,88.31518799706828,159.9495870032115,393216,34.40916637193469,0.982163667678833,17.486944446031814,0.00036231253761798143
21,kodim21,0.5020742788910866,0.5033365885416666,0.5020742788910866,5.037412003730424,65.94837999728043,88.57250699657016,154.52088699385058,393216,32.47402962410668,0.9788911938667297,16.755363287195763,0.0005657141446135938
22,kodim22,0.469970000286897,0.470703125,0.469970000286897,5.158182000741363,68.77631400129758,86.92500600591302,155.7013200072106,393216,32.10156660587052,0.9629802107810974,14.3156605833644,0.00061637262115255
23,kodim23,0.21626547475655875,0.21647135416666666,0.21626547475655875,5.214931006776169,71.61460899806116,87.00913500797469,158.62374400603585,393216,35.85351854210312,0.9786373972892761,16.70345836191938,0.000259805383393541
24,kodim24,0.6344870328903198,0.6358235677083334,0.6344870328903198,5.072081999969669,70.99040198954754,91.75782899546903,162.74823098501656,393216,30.88735623058669,0.9784321784973145,16.66193719391783,0.0008152003865689039
