image,bpp,psnr,ms_ssim,ms_ssim_db,mse
1,0.16552877550323802,25.595391320646822,0.918252170085907,10.875237673385488,0.002757153008133173
2,0.05010502195606629,29.45984599309405,0.8924235701560974,9.68282872815102,0.0011324405204504728
3,0.05051133595407009,30.943020978287727,0.9421298503875732,12.375453948480072,0.000804818409960717
4,0.06524663573751847,29.418298564525415,0.9063175320625305,10.283416768863034,0.001143326167948544
5,0.2299960736806194,25.35049275456647,0.9310688972473145,11.615847736518257,0.0029170960187911987
6,0.12314526022722325,26.604355879928647,0.8991898894309998,9.964959089209856,0.0021855684462934732
7,0.09913035637388627,29.800470658076918,0.9583455920219421,13.803390336509032,0.00104701507370919
8,0.24243975213418403,24.74906371004217,0.9439484477043152,12.514123555201216,0.0033503766171634197
9,0.06722404497365157,30.564903151740012,0.9534289240837097,13.318837285884136,0.0008780306670814753
10,0.07687713081638017,30.061579804473304,0.9391937255859375,12.16051604891568,0.0009859207784757018
11,0.103653893340379,27.69199149670946,0.9069976210594177,10.315059423325836,0.0017013781471177936
12,0.049079093926896654,30.666465172329836,0.9176122546195984,10.841373818643403,0.0008577356929890811
13,0.23396688575545946,23.083614944560264,0.8817031979560852,9.270269956379503,0.004916301462799311
14,0.14472620716939372,26.284009374631538,0.9019942283630371,10.087483476108158,0.0023528761230409145
15,0.06055734508360426,29.634528905821806,0.9321572184562683,11.684963543785623,0.0010877951281145215
16,0.06619031261652708,28.858874250756482,0.9031704068183899,10.13991892781181,0.0013005066430196166
17,0.08253835203746954,29.504493548012597,0.9364674091339111,11.970034337265583,0.0011208581272512674
18,0.14879593982671696,25.80402653208839,0.9011383056640625,10.049719506783726,0.0026278304867446423
19,0.09048580781867108,28.056138222772944,0.9084486961364746,10.383354661443501,0.0015645382227376103
20,0.06142920535057783,30.27901021009608,0.9504759907722473,13.051842041533515,0.0009377757087349892
21,0.12408250042547782,27.334540901977174,0.941638171672821,12.338711112273986,0.0018473360687494278
22,0.09197291436915596,27.800045083052552,0.8852784037590027,9.403548188429939,0.0016595696797594428
23,0.05890312232077122,31.647507072067892,0.9471848607063293,12.772415704723972,0.0006843043374828994
24,0.15852709487080574,25.56785924850455,0.9195666313171387,10.94563741943472,0.002774687483906746
