image,image_name,estimated_bpp,coded_bpp,bpp,forward_ms,encode_ms,decode_ms,codec_total_ms,num_pixels,psnr,ms_ssim,ms_ssim_db,mse
1,kodim01,0.31348208741595346,0.2986653645833333,0.31348208741595346,156.1923410044983,615.0050730066141,2172.1101220027776,2787.1151950093918,393216,27.140557569720617,0.9455978274345398,12.643837562880229,0.0019317202968522906
2,kodim02,0.09666392734895149,0.09269205729166667,0.09666392734895149,9.752229991136119,644.2834210029105,2139.993441000115,2784.2768620030256,393216,30.5964954137184,0.9102702140808105,10.470633684044369,0.000871666707098484
3,kodim03,0.09581685004134972,0.08951822916666667,0.09581685004134972,10.003469011280686,630.8717590000015,2063.7426059984136,2694.614364998415,393216,32.2592095440653,0.9564456939697266,13.609689016726234,0.0005944003351032734
4,kodim04,0.1179954285422961,0.11572265625,0.1179954285422961,12.689945011516102,647.4722919956548,2050.1215209951624,2697.5938129908172,393216,30.74233055527662,0.9280521869659424,11.429824025845807,0.0008428823202848434
5,kodim05,0.39666063214341796,0.3723958333333333,0.39666063214341796,9.655900008510798,655.4365590127418,2134.99949000834,2790.436049021082,393216,27.337096488798824,0.9560148119926453,13.566935473698567,0.0018462493317201734
6,kodim06,0.2246708661938707,0.21671549479166666,0.2246708661938707,10.574475993053056,617.5882319948869,2121.716854002443,2739.30508599733,393216,28.324399438068916,0.9307775497436523,11.597530321153187,0.001470821793191135
7,kodim07,0.15842262034614882,0.15275065104166666,0.15842262034614882,9.729059995152056,626.9747020123759,2002.2772020020057,2629.2519040143816,393216,31.544403686712407,0.9721069931983948,15.545046672699963,0.0007007443928159773
8,kodim08,0.4105933755636215,0.39208984375,0.4105933755636215,10.295108004356734,652.6266189903254,2030.5012720054947,2683.12789099582,393216,26.703799651174343,0.9621455073356628,14.218825699672617,0.0021360924001783133
9,kodim09,0.11249648345013459,0.11018880208333333,0.11249648345013459,9.500301006482914,624.2116439971142,1982.5992239930201,2606.8108679901343,393216,32.10220071252942,0.9672811627388,14.852021383753264,0.0006162826321087778
10,kodim10,0.1299282405525446,0.12320963541666667,0.1299282405525446,9.714169995277189,624.1806120087858,1973.8366050005425,2598.0172170093283,393216,31.68551919362178,0.9552151560783386,13.488689349937706,0.0006783410208299756
11,kodim11,0.18448426388204098,0.17618815104166666,0.18448426388204098,9.815449986490421,624.4962790078716,2022.8191389905987,2647.3154179984704,393216,29.10785769262057,0.929165780544281,11.497568873593757,0.0012280448572710156
12,kodim12,0.08708876526604097,0.08553059895833333,0.08708876526604097,9.278122000978328,625.5639529990731,2032.543984008953,2658.107937008026,393216,31.840753394339174,0.9343723654747009,11.829132491199417,0.0006545226206071675
13,kodim13,0.4317617093523343,0.4215494791666667,0.4317617093523343,11.483661000966094,664.4798409979558,2024.3644809961552,2688.844321994111,393216,24.943716017627487,0.9250385761260986,11.251621727245302,0.003203527070581913
14,kodim14,0.25777368030200404,0.24397786458333334,0.25777368030200404,11.395651003113016,655.7042339991312,1983.4631580015412,2639.1673920006724,393216,27.979719884860206,0.9321892857551575,11.687016812097738,0.0015923114260658622
15,kodim15,0.11109639642139275,0.106201171875,0.11109639642139275,9.565031010424718,656.6561379877385,2041.4002450124826,2698.056383000221,393216,30.82967100377858,0.9454811215400696,12.634530868739269,0.0008261005277745426
16,kodim16,0.12140677031129599,0.11800130208333333,0.12140677031129599,9.754369995789602,627.5275670050178,1994.9457299953792,2622.473297000397,393216,30.259392693013453,0.9309260249137878,11.606855503883565,0.0009420213173143566
17,kodim17,0.13498937214414278,0.13069661458333334,0.13498937214414278,9.340461998363025,614.3359939887887,1991.8214320059633,2606.157425994752,393216,30.91479343157927,0.9511632919311523,13.112536181857529,0.0008100664708763361
18,kodim18,0.273628331720829,0.258544921875,0.273628331720829,9.480790991801769,624.3216609873343,2016.4976210071472,2640.8192819944816,393216,27.545735453926383,0.9338812232017517,11.79675189502963,0.0017596506513655186
19,kodim19,0.15639960144956908,0.15055338541666666,0.15639960144956908,10.02651799353771,624.2446000105701,1975.7454369973857,2599.990037007956,393216,29.558874378014835,0.9312715530395508,11.628634696240043,0.001106910640373826
20,kodim20,0.10252569740017256,0.10115559895833333,0.10252569740017256,9.653020009864122,617.2984750010073,2029.8147830035305,2647.113258004538,393216,31.48086206884704,0.9622976183891296,14.23631215104817,0.0007110723527148366
21,kodim21,0.21580041634539765,0.20760091145833334,0.21580041634539765,9.736129009979777,660.9059480106225,2086.118509003427,2747.0244570140494,393216,28.961032904356408,0.9571471214294434,13.68019999754335,0.001270271954126656
22,kodim22,0.17464706084380546,0.162841796875,0.17464706084380546,9.48496098862961,647.1813180105528,2065.028781988076,2712.2100999986287,393216,29.055344315250096,0.9160133004188538,10.757894848413107,0.0012429840862751007
23,kodim23,0.08917930660148461,0.088623046875,0.08917930660148461,9.505401001661085,625.6661270017503,2032.8691149916267,2658.535241993377,393216,33.142579775528496,0.9596128463745117,13.937567536213853,0.0004850003169849515
24,kodim24,0.28356358346839744,0.2718098958333333,0.28356358346839744,10.063198002171703,623.9753039990319,2013.7324300012551,2637.707734000287,393216,27.430349032576807,0.9448779225349426,12.586744229108678,0.0018070288933813572
