image,bpp,psnr,ms_ssim,ms_ssim_db,mse
1,0.4844496839990219,28.986700471678837,0.9680655598640442,14.957406933464963,0.001262786565348506
2,0.1569431166475018,31.9704975111149,0.9346615672111511,11.848312867463736,0.0006352581549435854
3,0.13974868102620047,34.00367502177978,0.9696448445320129,15.177675384880843,0.00039777043275535107
4,0.17894598158697286,32.266569470412804,0.9521998763084412,13.205709795700578,0.0005933938664384186
5,0.5411879168823361,29.40458532947483,0.9738107323646545,15.81876646148092,0.0011469420278444886
6,0.3469295868029197,30.250826784932613,0.9565925598144531,13.624358245292086,0.0009438811684958637
7,0.21612094528973103,33.47023666237328,0.9811358451843262,17.24362648035831,0.00044975534547120333
8,0.5724364655713241,28.77036397790019,0.9756297469139099,16.131399606256313,0.001327283214777708
9,0.15711693434665602,33.70246375557061,0.9752518534660339,16.06457321183455,0.0004263375885784626
10,0.17666309823592505,33.360437081399674,0.9688448309898376,15.064698884476789,0.0004612711491063237
11,0.2753700107956926,30.775967836154464,0.9533424377441406,13.310779557798424,0.0008363791857846081
12,0.13255802635103464,33.310293944119884,0.9526593089103699,13.247654064360418,0.00046662779641337693
13,0.679672163290282,26.93612912949218,0.9585447311401367,13.824202638750144,0.0020248231012374163
14,0.3790694350997607,29.758888944400418,0.9581913948059082,13.787343210076736,0.0010570879094302654
15,0.16892182299246392,32.36417051555965,0.9608356952667236,14.071095788923868,0.0005802069790661335
16,0.19870178401470184,31.92630500610027,0.9555178284645081,13.518140194731842,0.0006417553522624075
17,0.19654306645194689,32.672119390604124,0.9684547781944275,15.010664145696941,0.0005404904950410128
18,0.4005822539329529,29.3920148425501,0.9585134387016296,13.820925610985553,0.0011502666166052222
19,0.24238188316424686,31.18655487928747,0.9564504027366638,13.610158568932755,0.0007609296590089798
20,0.15557761459300914,33.06648378853497,0.9731408953666687,15.709084689303252,0.0004935732576996088
21,0.3172375323871771,30.884995160068918,0.9714510440826416,15.44409769996813,0.0008156436961144209
22,0.265290434161822,30.642474666039607,0.9457438588142395,12.655510974399764,0.0008624869515188038
23,0.12354317835221687,34.80267535689231,0.972158670425415,15.553100286477658,0.00033092719968408346
24,0.41108789046605426,29.39297797601263,0.9662818312644958,14.721360203362044,0.0011500115506350994
