image,bpp,psnr,ms_ssim,ms_ssim_db,mse
1,0.2556803027788798,25.824283797963147,0.9292258620262146,11.501254116203397,0.0026156017556786537
2,0.14978582660357156,30.06258142855681,0.9096916317939758,10.442720049764795,0.0009856934193521738
3,0.13409109910329184,31.475198593389578,0.9540920853614807,13.381124345603418,0.0007120002410374582
4,0.1527959108352661,29.775852229525775,0.9241297841072083,11.199286801258006,0.0010529670398682356
5,0.2941579421361287,24.953002052323004,0.9379333853721619,12.071419422019254,0.003196684643626213
6,0.20739144086837769,26.504594174093704,0.9181204438209534,10.868245200583031,0.0022363541647791862
7,0.17673335472742716,30.282669765211363,0.9667916893959045,14.787532175657612,0.0009369858307763934
8,0.30541648467381793,23.996368577865063,0.9463129639625549,12.701305719748213,0.003984401933848858
9,0.149534672498703,30.802236778932134,0.963869035243988,14.42120441902266,0.0008313354919664562
10,0.15432576338450113,30.21450248959644,0.9535358548164368,13.328820483015162,0.0009518088772892952
11,0.18322402238845825,27.799875397184866,0.9257726669311523,11.294361430346795,0.0016596345230937004
12,0.13907761375109354,31.201428693989747,0.9351730346679688,11.882443080346148,0.0007583280676044524
13,0.28788483142852783,22.456112236417525,0.8949993252754211,9.788079101851103,0.005680528935045004
14,0.22456749280293783,26.55518364686702,0.9220566749572754,11.082210712543166,0.0022104547824710608
15,0.1482172111670176,29.930089452183232,0.9440791010856628,12.524258560320714,0.0010162277612835169
16,0.14724525809288025,29.338280689266526,0.9265368580818176,11.339305014120495,0.0011645869817584753
17,0.151923139890035,29.73797107307313,0.9506548047065735,13.067551278806043,0.00106219167355448
18,0.21855294704437256,25.82149659124513,0.9216527342796326,11.059761555869345,0.0026172809302806854
19,0.16980920235315958,28.226554149837266,0.9298019409179688,11.536748955855325,0.0015043350867927074
20,0.14638306697209677,30.342626229484967,0.9604620337486267,14.029856736293752,0.0009241391671821475
21,0.1961140235265096,27.11950111842784,0.9485457539558411,12.885787811063974,0.0019411088433116674
22,0.17102479934692383,28.245394913489204,0.9101073145866394,10.462756454620452,0.0014978230465203524
23,0.1362298826376597,31.549193824008196,0.9584290385246277,13.812099307831806,0.0006999719189479947
24,0.2170135180155436,25.015249288518476,0.933168888092041,11.750213132070886,0.003151193493977189
