image,bpp,psnr,ms_ssim,ms_ssim_db,mse
1,0.5264404335369667,28.693656321076002,0.9668685793876648,14.797599419969778,0.0013509347336366773
2,0.20677665372689563,31.646371637123302,0.9322112798690796,11.688425656085691,0.0006844832678325474
3,0.17704363726079464,33.619567352152714,0.9673978686332703,14.867540069703413,0.00043455351260490716
4,0.21842303623755774,31.910893154886594,0.94964998960495,12.980004354477533,0.0006440368015319109
5,0.5711600730816523,28.9268103816666,0.9723889231681824,15.589166555484656,0.0012803212739527225
6,0.37758223588267964,29.87270563249538,0.9558438658714294,13.550089561149639,0.0010297443950548768
7,0.2540911765148242,32.96937193464933,0.9800325632095337,16.996776817093203,0.0005047342856414616
8,0.596154432122906,28.168879691402427,0.9741467237472534,15.874844131762444,0.0015244459500536323
9,0.19442510915299258,33.326878276266186,0.9751526117324829,16.047192536354807,0.0004648492904379964
10,0.20980997507770857,32.96514687515544,0.967317521572113,14.85685016804809,0.0005052255582995713
11,0.3142088732371727,30.433936744622343,0.9525303840637207,13.235842820256751,0.00090491195442155
12,0.18142200075089931,32.900638107557484,0.9495275020599365,12.969452010174487,0.0005127860349602997
13,0.6694348814586798,26.383630812908816,0.9572135210037231,13.686934511978816,0.002299518557265401
14,0.40042200808723766,29.411973882303812,0.9561764597892761,13.582925416114943,0.001144992420449853
15,0.20963154112299284,31.95195429755326,0.9588766098022461,13.85911089453305,0.0006379763362929225
16,0.2215835079550743,31.671213884053717,0.9536766409873962,13.341999564536192,0.0006805791053920984
17,0.22131243099768957,32.248933514814446,0.9657146334648132,14.648912032539327,0.0005958084366284311
18,0.4152385840813319,28.96975297319189,0.9565820097923279,13.623302836434393,0.00126772397197783
19,0.27419649933775264,30.921704906615737,0.9549554586410522,13.463578306854467,0.0008087783353403211
20,0.20139380544424057,32.547392122372656,0.9732639789581299,15.729032256506956,0.000556238170247525
21,0.3406618367880583,30.4502908327046,0.9691876173019409,15.112747167233643,0.0009015107643790543
22,0.30147112905979156,30.38431269819823,0.9430049657821655,12.441629812703015,0.0009153111022897065
23,0.15752938700218996,34.19420722082795,0.969169557094574,15.110202362205927,0.000380696845240891
24,0.42725391251345474,28.75002004847125,0.9645106196403503,14.499015833160925,0.0013335152762010694
