image,image_name,estimated_bpp,coded_bpp,bpp,forward_ms,encode_ms,decode_ms,codec_total_ms,num_pixels,psnr,ms_ssim,ms_ssim_db,mse
1,kodim01,0.1643483837445577,0.16463216145833334,0.1643483837445577,138.1997910066275,71.53099299466703,100.0886609981535,171.61965399282053,393216,24.743167367136177,0.8984490036964417,9.933158114318465,0.003354928456246853
2,kodim02,0.10157802700996399,0.101806640625,0.10157802700996399,4.764236000482924,70.70981700962875,85.79486300004646,156.5046800096752,393216,28.58317041347164,0.8838124871253967,9.348405447603568,0.0013857438461855054
3,kodim03,0.0905296802520752,0.09073893229166667,0.0905296802520752,4.873065990977921,67.35921400832012,85.59459399839398,152.9538080067141,393216,30.146857286138527,0.9398564696311951,12.20811082808649,0.0009667502017691731
4,kodim04,0.10023179650306702,0.10042317708333333,0.10023179650306702,6.344857989461161,71.60026299243327,94.53048900468275,166.13075199711602,393216,28.616203149632568,0.8968455791473389,9.865121548864273,0.001375243766233325
5,kodim05,0.18691943089167276,0.187255859375,0.18691943089167276,4.802855997695588,67.42067400773522,86.51570900110528,153.9363830088405,393216,23.542935393973742,0.9061546921730042,10.275874367963546,0.0044228932820260525
6,kodim06,0.1312460700670878,0.13142903645833334,0.1312460700670878,4.815096006495878,67.3349240096286,85.36514500156045,152.70006901118904,393216,25.294285659738314,0.8797523975372314,9.199235739775816,0.002955094911158085
7,kodim07,0.12180352210998535,0.12198893229166667,0.12180352210998535,4.838605993427336,74.65712800330948,86.60565799800679,161.26278600131627,393216,28.70159239670329,0.9522395133972168,13.209312570916884,0.0013484683586284518
8,kodim08,0.1992042064666748,0.19978841145833334,0.1992042064666748,4.704677005065605,66.52918799954932,89.46417398692574,155.99336198647507,393216,22.471318145255257,0.9215522408485413,11.054194574569758,0.005660674534738064
9,kodim09,0.10067480802536011,0.10091145833333333,0.10067480802536011,4.840235997107811,69.7913019976113,88.22838000196498,158.01968199957628,393216,29.360413944627034,0.9483571648597717,12.86989923416505,0.0011586669133976102
10,kodim10,0.10224355260531108,0.10245768229166667,0.10224355260531108,4.837086002225988,68.12833998992573,89.19701499689836,157.3253549868241,393216,28.700930690329344,0.9345315098762512,11.839676749400109,0.0013486738316714764
11,kodim11,0.11772931615511577,0.117919921875,0.11772931615511577,4.702577003627084,68.90299600490835,86.27246000105515,155.1754560059635,393216,26.59004264738676,0.8974214196205139,9.889433155804795,0.0021927834022790194
12,kodim12,0.09614747762680054,0.09627278645833333,0.09614747762680054,4.716996001661755,70.04587099072523,87.75990200228989,157.80577299301513,393216,29.90254418922828,0.915135383605957,10.71273347540786,0.0010226937010884285
13,kodim13,0.1750862995783488,0.17529296875,0.1750862995783488,4.706787003669888,68.06238100398332,94.39250899595208,162.4548899999354,393216,21.52830125224891,0.8468542098999023,8.148949372278084,0.007033473812043667
14,kodim14,0.14380647738774618,0.14404296875,0.14380647738774618,4.783576005138457,71.02873500843998,88.36278000671882,159.3915150151588,393216,25.24844280665356,0.8888079524040222,9.539262721845796,0.002986453240737319
15,kodim15,0.10047181447347005,0.10066731770833333,0.10047181447347005,4.684735991759226,69.20411498867907,88.0514110031072,157.25552599178627,393216,28.70021773488829,0.9275045394897461,11.39689187043773,0.0013488952536135912
16,kodim16,0.08994900186856587,0.090087890625,0.08994900186856587,4.700595993199386,66.27172901062295,87.10556600999553,153.37729502061848,393216,28.023113769468946,0.8935479521751404,9.728459795945449,0.0015764805721119046
17,kodim17,0.10141623020172119,0.1015625,0.10141623020172119,4.954374991939403,70.73389700963162,88.14816999074537,158.882067000377,393216,28.48997570472321,0.9312927722930908,11.629975746126554,0.0014158017002046108
18,kodim18,0.13596437374750772,0.13623046875,0.13596437374750772,4.688666987931356,77.40327299688943,91.39871499792207,168.8019879948115,393216,24.80053698566187,0.8847859501838684,9.384945574964688,0.0033109018113464117
19,kodim19,0.11086668570836385,0.11124674479166667,0.11086668570836385,4.807406003237702,70.87571600277442,90.31687999959104,161.19259600236546,393216,26.610699387186976,0.9007013440132141,10.030566296664784,0.0021823784336447716
20,kodim20,0.09989667932192485,0.10009765625,0.09989667932192485,4.686225991463289,67.9295110021485,87.70449199073482,155.63400299288332,393216,28.872045964886475,0.9454102516174316,12.628889074583537,0.0012965683126822114
21,kodim21,0.12656744321187338,0.126708984375,0.12656744321187338,4.776875997777097,66.49945900426246,87.65604200016242,154.15550100442488,393216,25.865637804239974,0.926583468914032,11.342061396605983,0.002590813906863332
22,kodim22,0.10932576656341553,0.10953776041666667,0.10932576656341553,4.7919060016283765,72.93036600458436,88.86084699770436,161.7912130022887,393216,27.12649781509699,0.8757924437522888,9.058519827676303,0.0019379841396585107
23,kodim23,0.09597402811050415,0.09635416666666667,0.09597402811050415,4.78889599617105,82.2999900119612,98.12397000496276,180.42396001692396,393216,29.958428943140063,0.943432629108429,12.474340057004035,0.001009618048556149
24,kodim24,0.13529741764068604,0.135498046875,0.13529741764068604,4.91888499527704,71.06950499291997,87.27993399952538,158.34943899244536,393216,23.933527052573655,0.900916576385498,10.039989957156061,0.004042474552989006
