variant,label,freeze_mode,params_millions,timed_points,mean_coded_bpp,mean_psnr,mean_forward_ms,mean_encode_ms,mean_decode_ms,mean_codec_total_ms,mean_forward_mpix_per_s,mean_encode_mpix_per_s,mean_decode_mpix_per_s,mean_codec_total_mpix_per_s
A_ft,Fine-tuned Baseline,none,5.075843,4,0.28989919026692706,30.218692383506102,11.390880625488839,73.33971216591333,92.8450671885912,166.18477935450454,34.521495695254366,5.363121526800917,4.237530884852668,2.3670791081602633
A,Pretrained Baseline,pretrained_reference,5.075843,4,0.2846001519097222,30.147147558366733,12.136571500226031,74.62074951126851,93.96036190537416,168.58111141664267,32.405593698990025,5.270296083464585,4.188130965686468,2.333475283612248
B,Encoder SE,none,5.078027,4,0.28964826795789933,30.21245074248803,11.55527020819136,74.94744549967436,93.84479260370426,168.79223810337862,34.030125187107465,5.248185902295765,4.190333367274732,2.329643490893562
C,Encoder+Decoder SE,none,5.080211,4,0.2898084852430555,30.2119000791063,11.656676728155919,73.04833862493372,91.1969376769169,164.24527630185062,33.7337679123892,5.383412550573665,4.312405119986539,2.394120971313201
bmshj2018_factorized,BMSHJ 2018 Factorized,pretrained_reference,2.998147,4,0.25983428955078125,29.005177618471485,10.433353884915658,67.20272138621417,87.7499427812533,154.95266416746745,37.68874116454573,5.857256722766648,4.482413592692444,2.5388958067836214
mbt2018_mean,MBT 2018 Mean,pretrained_reference,7.028003,4,0.2724397447374132,30.284468500225696,11.359641365591719,75.4444689587217,94.70862724977754,170.15309620849925,34.61550501031982,5.21606234617864,4.154898557875614,2.312497396111172
mbt2018,MBT 2018,pretrained_reference,14.130467,4,0.25438690185546875,30.54548663508193,15.98547799994776,635.9135696773894,2037.016025979483,2672.929595656872,24.599380948211568,0.618551545191195,0.19305937049858585,0.1471344990399504
cheng2020_anchor,Cheng 2020 Anchor,pretrained_reference,11.833149,4,0.24793243408203125,30.82075009934495,26.227179978983862,712.4505320098251,2093.077339946376,2805.5278719562007,16.019045108710102,0.5536113758375443,0.18799012466727263,0.14031102205363016
