variant,label,reference_variant,bd_rate_psnr,bd_rate_msssim
A,Pretrained Baseline,A_ft,-0.1068539953456682,-1.6153616818234462
B,Encoder SE,A_ft,0.08312833897083927,-0.15094106336793756
C,Encoder+Decoder SE,A_ft,0.17065683616477312,-0.05141898298645087
bmshj2018_factorized,BMSHJ 2018 Factorized,A_ft,22.226097404794064,1.4538838585113067
mbt2018_mean,MBT 2018 Mean,A_ft,-8.016026526077248,-7.530866327694574
mbt2018,MBT 2018,A_ft,-19.415126927184566,-15.5580743586486
cheng2020_anchor,Cheng 2020 Anchor,A_ft,-24.872200314734982,-20.605948954723065
