variant,label,freeze_mode,lmbda,quality,avg_estimated_bpp,avg_coded_bpp,avg_psnr,avg_ms_ssim,avg_ms_ssim_db,avg_forward_ms,avg_encode_ms,avg_decode_ms,avg_codec_total_ms,avg_forward_mpix_per_s,avg_encode_mpix_per_s,avg_decode_mpix_per_s,avg_codec_total_mpix_per_s,total_params,run_name
A_ft,Fine-tuned Baseline,none,0.0018,1,0.1314195775711495,0.13182237413194445,27.563220988478445,0.9164936343828837,10.95616416385422,11.30975125003412,73.45032841658394,93.03136137653685,166.4816897931208,34.767873431240474,5.3534954638979935,4.22670370702725,2.361917400577995,5075843,variant_A_ft_lmbda_0.0018_quality_1_mse_freeze_none_20260528_011518
A_ft,Fine-tuned Baseline,frozen_hyperprior,0.0018,1,0.13192587652398893,0.13214111328125,27.552545863186463,0.9169966280460358,10.983258201693607,11.290659252457166,72.83671720809555,91.51318046012118,164.34989766821673,34.82666434330884,5.398595860334785,4.296823670895717,2.392553969177452,5075843,variant_A_ft_lmbda_0.0018_quality_1_mse_freeze_frozen_hyperprior_20260528_011518
A_ft,Fine-tuned Baseline,frozen_hyperprior,0.0035,2,0.21109608485777343,0.2113579644097222,29.198774233855087,0.9422083149353663,12.555684292434428,11.478326874566847,72.86221058044855,90.70547333431023,163.56768391475876,34.25725755129609,5.396706974266761,4.335085695994734,2.4039956462605385,5075843,variant_A_ft_lmbda_0.0035_quality_2_mse_freeze_frozen_hyperprior_20260528_011518
A_ft,Fine-tuned Baseline,none,0.0035,2,0.21084015239547524,0.21137491861979166,29.217508947927573,0.9420232723156611,12.542687997842107,11.336794749998566,71.4943484987695,90.88347999992645,162.37782849869595,34.68493596922973,5.499959203163698,4.326594888315436,2.421611396306842,5075843,variant_A_ft_lmbda_0.0035_quality_2_mse_freeze_none_20260528_011518
A_ft,Fine-tuned Baseline,frozen_hyperprior,0.0067,3,0.32720220668448347,0.3276333279079861,31.09167873970524,0.961612788339456,14.340232520332721,11.484298792008,77.27200154113234,97.42832733051425,174.70032887164658,34.23944353255957,5.088725439455438,4.035951460667702,2.2508028607599146,5075843,variant_A_ft_lmbda_0.0067_quality_3_mse_freeze_frozen_hyperprior_20260528_011518
A_ft,Fine-tuned Baseline,none,0.0067,3,0.32714685880475575,0.3279012044270833,31.093878605031165,0.9613532821337382,14.312007791245293,11.450206624431303,73.40785300038988,91.09095287446205,164.4988058748519,34.34138901572266,5.356593115424744,4.31674044009524,2.3903881727819503,5075843,variant_A_ft_lmbda_0.0067_quality_3_mse_freeze_none_20260528_011518
A_ft,Fine-tuned Baseline,none,0.013,4,0.48739695323941606,0.48849826388888884,33.00016099258722,0.9748119314511617,16.175308147971947,11.466769877491364,75.00631874790997,96.37447450343946,171.38079325134944,34.29178436482459,5.2424383247172335,4.080084503972747,2.294399462974267,5075843,variant_A_ft_lmbda_0.013_quality_4_mse_freeze_none_20260528_011518
A_ft,Fine-tuned Baseline,frozen_hyperprior,0.013,4,0.4886446193688445,0.4894748263888889,32.99575574631053,0.9749494269490242,16.19828570858652,11.362093249772443,71.30533420847011,90.83928004232196,162.14461425079207,34.60770751972795,5.514538349268283,4.328700093360504,2.4250944246091675,5075843,variant_A_ft_lmbda_0.013_quality_4_mse_freeze_frozen_hyperprior_20260528_011518
A,Pretrained Baseline,pretrained_reference,0.0018,1,0.13112824874567905,0.13129340277777776,27.581536717086056,0.9173671081662178,11.008666265551232,12.129935417760862,73.29157312657723,89.56246758255777,162.854040709135,32.41699040081007,5.36509155453522,4.390410521433406,2.414530203167033,5075843,variant_A_lmbda_0.0018_quality_1_mse_reference_20260528_194012
A,Pretrained Baseline,pretrained_reference,0.0035,2,0.2086930044978443,0.208892822265625,29.196694011805903,0.9420618663231531,12.54691892654609,12.093538916815305,74.32457233456564,94.83423316548094,169.15880550004658,32.514552002082524,5.290524891686859,4.146350815257376,2.3245375777963373,5075843,variant_A_lmbda_0.0035_quality_2_mse_reference_20260528_194012
